input,gold_hard,llm_soft,llm_hard
"tartakovsky's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . 
",negative,"[{' negative': 0.0, ' positive': -16.929634, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"they takes a long time to get to its gasp-inducing ending . 
",negative,"[{' negative': -3.5120327e-05, ' positive': -10.25417, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"cool ? this movie is a snow emergency . 
",positive,"[{' negative': -0.00491176, ' positive': -5.3185787, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"everything you loved about it in 1982 is still there , for everybody who wants to be a kid again , or show it to their own kids . 
",positive,"[{' positive': 0.0, ' negative': -17.383186, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"sayles is making a statement about the inability of dreams and aspirations to carry forward into the next generation . 
",positive,"[{' positive': -0.19574541, ' negative': -1.7272166, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"will certainly appeal to asian cult cinema fans and asiaphiles interested to see what all the fuss is about . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.518227, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a sudsy cautionary tale . 
",negative,"[{' negative': -0.0077958186, ' positive': -4.858053, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"and if you appreciate the one-sided theme to lawrence's over-indulgent tirade , then knock yourself out and enjoy the big screen postcard that is a self-glorified martin lawrence lovefest . if you are willing to do this , then you so crazy ! 
",negative,"[{' negative': -0.0012956439, ' positive': -6.649405, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"there's a spontaneity to the chateau , a sense of light-heartedness , that makes it attractive throughout . 
",positive,"[{' positive': 0.0, ' negative': -17.598783, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"falls short in explaining the music and its roots . 
",negative,"[{' negative': 0.0, ' positive': -18.65859, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques . 
",negative,"[{' negative': 0.0, ' positive': -17.847076, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a poignant and gently humorous parable that loves its characters and communicates something rather beautiful about human nature . 
",positive,"[{' positive': 0.0, ' negative': -17.386131, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the story , once it gets rolling , is nothing short of a great one . 
",positive,"[{' positive': 0.0, ' negative': -17.799278, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"another big , dumb action movie in the vein of xxx , the transporter is riddled with plot holes big enough for its titular hero to drive his sleek black bmw through . 
",negative,"[{' negative': 0.0, ' positive': -18.984388, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head . 
",positive,"[{' positive': -5.460492e-07, ' negative': -14.2935705, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"smith finds amusing juxtapositions that justify his exercise . 
",positive,"[{' positive': -6.827632e-08, ' negative': -15.79396, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"just what makes us happy , anyway ? 
",positive,"[{' positive': -0.0012511218, ' negative': -6.6843333, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"davis . . . is so enamored of her own creation that she can't see how insufferable the character is . 
",negative,"[{' negative': 0.0, ' positive': -17.114777, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"made me feel uneasy , even queasy , because [solondz's] cool compassion is on the border of bemused contempt . 
",negative,"[{' negative': 0.0, ' positive': -17.154959, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"it's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism . 
",positive,"[{' positive': 0.0, ' negative': -16.852036, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"if there was any doubt that peter o'fallon didn't have an original bone in his body , a rumor of angels should dispel it . 
",negative,"[{' positive': -1.8841804e-07, ' negative': -15.076415, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a sentimental mess that never rings true . 
",negative,"[{' negative': 0.0, ' positive': -19.186811, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"para hitler , o mundo era sua tela ; e o horror , seu pincel . e max retrata este fato com elegante abandono , numa triste constatação da realidade histórica . 
",positive,"[{' negative': -3.076318e-07, ' positive': -15.013252, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"everything that was right about blade is wrong in its sequel . 
",negative,"[{' negative': 0.0, ' positive': -18.91018, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"'wouldn't it be nice if all guys got a taste of what it's like on the other side of the bra ? '
",negative,"[{' negative': -0.0063474774, ' positive': -5.0628657, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . 
",positive,"[{' positive': 0.0, ' negative': -17.576874, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery , unfortunately . 
",positive,"[{' negative': -6.827632e-08, ' positive': -16.566422, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"two hours of sepia-tinted heavy metal images and surround sound effects of people moaning . 
",negative,"[{' negative': 0.0, ' positive': -17.277466, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a great ending doesn't make up for a weak movie , and crazy as hell doesn't even have a great ending . 
",negative,"[{' negative': 0.0, ' positive': -18.63194, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . 
",negative,"[{' negative': -6.827632e-08, ' positive': -15.84935, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the best thing about the movie is its personable , amusing cast . 
",negative,"[{' positive': 0.0, ' negative': -18.477829, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"for a shoot-'em-up , ballistic is oddly lifeless . 
",negative,"[{' negative': 0.0, ' positive': -18.141624, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"take away all the cliches and the carbon copy scenes from every drug movie we've seen and all you have left are john leguizamo's cool jackets . 
",negative,"[{' positive': -9.055464e-07, ' negative': -13.828476, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"without [de niro] , city by the sea would slip under the waves . he drags it back , single-handed . 
",positive,"[{' positive': -0.00087216886, ' negative': -7.044832, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial . 
",negative,"[{' positive': -0.40863928, ' negative': -1.092294, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off
",negative,"[{' negative': 0.0, ' positive': -18.404577, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the thrill is ( long ) gone . 
",negative,"[{' negative': -1.8841804e-07, ' positive': -15.498505, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness . 
",negative,"[{' negative': 0.0, ' positive': -18.82498, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"adults , other than the parents . . . will be hard pressed to succumb to the call of the wild . 
",negative,"[{' negative': -9.949678e-05, ' positive': -9.21521, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"judd's characters ought to pick up the durable best seller smart women , foolish choices for advice . 
",negative,"[{' positive': -4.859278e-05, ' negative': -9.93233, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
" . . . hopefully it'll be at the dollar theatres by the time christmas rolls around . wait to see it then . 
",negative,"[{' positive': -0.0003022548, ' negative': -8.104451, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a chilly , remote , emotionally distant piece . . . so dull that its tagline should be : 'in space , no one can hear you snore . '
",negative,"[{' negative': 0.0, ' positive': -18.85228, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"offers a guilt-free trip into feel-good territory . 
",positive,"[{' positive': 0.0, ' negative': -16.847649, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"movies like this are selling the old european candor , the old wink of 'bold' revelation . but in 2002 , such revelations wilt . 
",negative,"[{' positive': -0.18841177, ' negative': -1.7618523, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"is red dragon worthy of a place alongside the other hannibal movies ? as hannibal would say , yes , 'it's like having an old friend for dinner' . 
",positive,"[{' positive': 0.0, ' negative': -17.27345, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"lilia's transformation from strict mother to sensual siren is superficially preposterous , but abbas infuses the role with an unimpeachable core of emotional truth . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.561234, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a bilingual charmer , just like the woman who inspired it
",positive,"[{' positive': 0.0, ' negative': -17.002922, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a funny and well-contructed black comedy where the old adage "" be careful what you wish for "" is given a full workout . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.033096, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"like many such biographical melodramas , it suffers from the awkwardness that results from adhering to the messiness of true stories . 
",negative,"[{' negative': -6.827632e-08, ' positive': -16.374748, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching . 
",positive,"[{' positive': 0.0, ' negative': -16.963417, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"as if to prove a female director can make a movie with no soft edges , kathryn bigelow offers no sugar-coating or interludes of lightness . her film is unrelentingly claustrophobic and unpleasant . 
",positive,"[{' negative': 0.0, ' positive': -18.319647, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"hashiguchi vividly captures the way young japanese live now , chafing against their culture's manic mix of millennial brusqueness and undying , traditional politesse . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.088768, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? 
",negative,"[{' negative': 0.0, ' positive': -18.490372, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"one of the most plain , unimaginative romantic comedies i've ever seen . 
",negative,"[{' negative': 0.0, ' positive': -19.125824, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"nicolas philibert observes life inside a one-room schoolhouse in northern france in his documentary to be and to have , easily one of the best films of the year . 
",positive,"[{' positive': 0.0, ' negative': -17.071203, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"jolting into charleston rhythms , the story has the sizzle of old news that has finally found the right vent ( accurate ? who cares ? ) . 
",positive,"[{' positive': -7.224551e-06, ' negative': -11.828475, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the film becomes an overwhelming pleasure , and you find yourself rooting for gai's character to avoid the fate that has befallen every other carmen before her . 
",positive,"[{' positive': 0.0, ' negative': -17.449379, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"i am not generally a huge fan of cartoons derived from tv shows , but hey arnold ! the movie is clever , offbeat and even gritty enough to overcome my resistance . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.380577, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"starts out strongly before quickly losing its focus , point and purpose in a mess of mixed messages , over-blown drama and bruce willis with a scar . 
",negative,"[{' negative': 0.0, ' positive': -18.291039, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible . 
",negative,"[{' negative': 0.0, ' positive': -19.204117, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"an absurdist spider web . 
",positive,"[{' negative': -0.0015027619, ' positive': -6.501128, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the film is enriched by an imaginatively mixed cast of antic spirits , headed by christopher plummer as the subtlest and most complexly evil uncle ralph i've ever seen in the many film and stage adaptations of the work . 
",positive,"[{' positive': -6.827632e-08, ' negative': -15.605698, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"this version does justice both to stevenson and to the sci-fi genre . 
",positive,"[{' positive': 0.0, ' negative': -18.168531, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"confusion is one of my least favourite emotions , especially when i have to put up with 146 minutes of it . 
",negative,"[{' negative': 0.0, ' positive': -17.881338, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
" . . . it's as comprehensible as any dummies guide , something even non-techies can enjoy . 
",positive,"[{' positive': -3.076318e-07, ' negative': -14.833541, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"if sinise's character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over . 
",negative,"[{' negative': 0.0, ' positive': -17.197723, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"elegant and eloquent [meditation] on death and that most elusive of passions , love . 
",positive,"[{' positive': 0.0, ' negative': -17.604195, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film . 
",negative,"[{' negative': -6.827632e-08, ' positive': -16.372337, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the movie isn't just hilarious : it's witty and inventive , too , and in hindsight , it isn't even all that dumb . 
",positive,"[{' positive': 0.0, ' negative': -17.008965, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"it's hard to pity the 'plain' girl who becomes a ravishing waif after applying a smear of lip-gloss . rather , pity anyone who sees this mishmash . 
",negative,"[{' negative': 0.0, ' positive': -16.662155, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"working from elliott's memoir , rohmer fashions the sort of delicate , articulate character- and- relationship study he's favored for decades . 
",positive,"[{' positive': 0.0, ' negative': -17.130226, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"it's a powerful though flawed movie , guaranteed to put a lump in your throat while reaffirming washington as possibly the best actor working in movies today . 
",positive,"[{' positive': -6.827632e-08, ' negative': -15.553101, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"an old-fashioned but emotionally stirring adventure tale of the kind they rarely make anymore . 
",positive,"[{' positive': 0.0, ' negative': -17.671188, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"it's a remarkably solid and subtly satirical tour de force . 
",positive,"[{' positive': 0.0, ' negative': -17.954763, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"this documentary is a dazzling , remarkably unpretentious reminder of what [evans] had , lost , and got back . 
",positive,"[{' positive': 0.0, ' negative': -17.730833, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"this is an insultingly inept and artificial examination of grief and its impacts upon the relationships of the survivors . 
",negative,"[{' negative': 0.0, ' positive': -18.90992, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a trite psychological thriller designed to keep the audience guessing and guessing -- which is not to be confused with suspecting -- until it comes time to wrap things up and send the viewers home . 
",negative,"[{' negative': 0.0, ' positive': -17.374535, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"that 'alabama' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of witherspoon ( who is always a joy to watch , even when her material is not first-rate ) . . . 
",positive,"[{' positive': 0.0, ' negative': -16.718071, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"seems content to dog-paddle in the mediocre end of the pool , and it's a sad , sick sight . 
",negative,"[{' negative': 0.0, ' positive': -17.929626, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"earnest yet curiously tepid and choppy recycling in which predictability is the only winner . 
",negative,"[{' negative': 0.0, ' positive': -18.091751, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a well-acted , but one-note film . 
",negative,"[{' negative': 0.0, ' positive': -16.675451, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"it's absolutely amazing how first-time director kevin donovan managed to find something new to add to the canon of chan . make chan's action sequences boring . 
",negative,"[{' positive': -4.883026e-05, ' negative': -9.926119, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the film's appeal has a lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth . 
",positive,"[{' positive': 0.0, ' negative': -17.118248, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.32444, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"almost peerlessly unsettling . 
",positive,"[{' positive': -0.17680828, ' negative': -1.8197908, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the film is undone by anachronistic quick edits and occasional jarring glimpses of a modern theater audience watching the events unfold . 
",negative,"[{' negative': 0.0, ' positive': -17.433296, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"writhing under dialogue like 'you're from two different worlds' and 'tonight the maid is a lie and this , this is who you are , ' this schlock-filled fairy tale hits new depths of unoriginality and predictability . 
",negative,"[{' negative': 0.0, ' positive': -18.988905, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"thriller directorial debut for traffic scribe gaghan has all the right parts , but the pieces don't quite fit together . 
",negative,"[{' negative': -3.076318e-07, ' positive': -14.839249, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"showtime's starry cast could be both an asset and a detriment . those who trek to the 'plex predisposed to like it probably will enjoy themselves . but ticket-buyers with great expectations will wind up as glum as mr . de niro . 
",negative,"[{' negative': -0.6610226, ' positive': -0.7263379, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"although sensitive to a fault , it's often overwritten , with a surfeit of weighty revelations , flowery dialogue , and nostalgia for the past and roads not taken . 
",negative,"[{' negative': -1.022884e-06, ' positive': -13.772194, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"informative , intriguing , observant , often touching . . . gives a human face to what's often discussed in purely abstract terms . 
",positive,"[{' positive': 0.0, ' negative': -18.018759, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the messy emotions raging throughout this three-hour effort are instantly recognizable , allowing the film to paradoxically feel familiar and foreign at the same time . 
",positive,"[{' positive': -1.8841804e-07, ' negative': -15.314774, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"[gulpilil] is a commanding screen presence , and his character's abundant humanism makes him the film's moral compass . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.17443, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the ending feels at odds with the rest of the film . 
",positive,"[{' negative': 0.0, ' positive': -18.725304, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"broomfield turns his distinctive 'blundering' style into something that could really help clear up the case . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.6231, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"the movie exists for its soccer action and its fine acting . 
",positive,"[{' positive': 0.0, ' negative': -18.453888, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a reasonably entertaining sequel to 1994's surprise family hit that may strain adult credibility . 
",positive,"[{' positive': -2.4032974e-05, ' negative': -10.633019, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"kurys never shows why , of all the period's volatile romantic lives , sand and musset are worth particular attention . 
",negative,"[{' positive': -0.24206205, ' negative': -1.5371517, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"with or without ballast tanks , k-19 sinks to a harrison ford low . 
",negative,"[{' negative': 0.0, ' positive': -17.253883, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string . we're drawn in by the dark luster . 
",positive,"[{' positive': -6.827632e-08, ' negative': -16.017181, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie . . . tosses around some intriguing questions about the difference between human and android life . 
",positive,"[{' positive': -6.1516675e-06, ' negative': -11.993848, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"under-rehearsed and lifeless
",negative,"[{' negative': 0.0, ' positive': -17.087273, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"colorful and deceptively buoyant until it suddenly pulls the rug out from under you , burkinabe filmmaker dani kouyate's reworking of a folk story whose roots go back to 7th-century oral traditions is also a pointed political allegory . 
",positive,"[{' positive': -1.1430258e-06, ' negative': -13.633513, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"spend your benjamins on a matinee . 
",positive,"[{' positive': -6.6619094e-07, ' negative': -14.14653, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"maudlin and melodramatic we expected . boring we didn't . 
",negative,"[{' negative': 0.0, ' positive': -17.656898, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"a moody horror/thriller elevated by deft staging and the director's well-known narrative gamesmanship . 
",positive,"[{' positive': -6.827632e-08, ' negative': -15.737732, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"this gorgeous epic is guaranteed to lift the spirits of the whole family . 
",positive,"[{' positive': 0.0, ' negative': -17.788986, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"a fascinating literary mystery story with multiple strands about the controversy of who really wrote shakespeare's plays . 
",positive,"[{' positive': 0.0, ' negative': -17.927649, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"not a film for the faint of heart or conservative of spirit , but for the rest of us -- especially san francisco lovers -- it's a spirited film and a must-see . 
",positive,"[{' positive': 0.0, ' negative': -17.22228, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"it seems like i have been waiting my whole life for this movie and now i can't wait for the sequel . 
",positive,"[{' positive': 0.0, ' negative': -18.108902, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", positive
"purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons . 
",negative,"[{' negative': -6.827632e-08, ' positive': -15.99919, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
"appropriately cynical social commentary aside , #9 never quite ignites . 
",negative,"[{' negative': 0.0, ' positive': -17.305504, '!': -87.33654, '""': -87.33654, '#': -87.33654}]", negative
