input,gold_hard,llm_soft,llm_hard
"it was immediately noticeable that nis slows down my computer ( pent4 , 256 ram ) .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.385192, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"the front cover ( which you remove to take out the battery ) feels flimsy but when snapped on , the device still feels pretty solid .",negative,"[{'positive': -1.8841804e-07, 'negative': -15.480552, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
at works as well as can be expected for products in this space and the company backs it up with good support .,positive,"[{'positive': 0.0, 'negative': -16.86509, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .,positive,"[{'positive': 0.0, 'negative': -18.190468, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i have an ipod and it is a great buy .,positive,"[{'positive': 0.0, 'negative': -18.080084, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the speakerphone works better than any speakerphone i 've ever had .,positive,"[{'positive': 0.0, 'negative': -17.641327, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"if you 're looking for a small , compact , super resolution digital camera , you can end your search with the nikon 4300 ! .",positive,"[{'positive': 0.0, 'negative': -17.246641, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
gets nice sound too .,positive,"[{'positive': 0.0, 'negative': -17.281637, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"this is a quality product , not to be confused with the cheap junk that hitachi gets manufactured in china .",positive,"[{'positive': 0.0, 'negative': -17.59011, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the clarity is unbelievable , which means you can cram almost the full 2 , 5 ! .",positive,"[{'positive': -6.6619094e-07, 'negative': -14.226775, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking .",positive,"[{'positive': -1.022884e-06, 'negative': -13.747803, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the keypad is a decent size , but the power on/off key is small and difficult to press .",negative,"[{'negative': -4.9586424e-06, 'positive': -12.194691, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
take quick pictures with excelent resolution,positive,"[{'positive': 0.0, 'negative': -17.809303, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the computer interface is 90% good , only losing points due to the fact that "" creative "" branding is all over the place within it .",positive,"[{'positive': -1.7834122e-05, 'negative': -10.931376, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the sd500 rivals the canon g6 in image quality .,positive,"[{'positive': 0.0, 'negative': -17.019516, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i have n 't messed with the firmware at all , the player worked perfect for me right out of the box .",positive,"[{'positive': 0.0, 'negative': -17.34288, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i would have rated it five stars but for the poor manual .,negative,"[{'negative': -3.076318e-07, 'positive': -14.789963, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i 'm not sure why all the bad reviews , my computer isn 't especially slowed down and i have win '98 .",positive,"[{'positive': -0.0016573827, 'negative': -6.4033375, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"2 ) having unfilled id3 tags will cause music to be potentially placed in a folder called "" unknown . """,negative,"[{'negative': -4.3108244e-05, 'positive': -10.0503435, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i have a modern pc with lots of speed and memory , but this firewall just brought it to a halt .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.043197, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
but the major problem i had was with the software .,negative,"[{'negative': -6.827632e-08, 'positive': -15.614677, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the moveable lcd screen is great .,positive,"[{'positive': 0.0, 'negative': -18.678762, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the nomad zen could use a little sturdier construction like the archos jukeboxes or some kind of shock resistant case .,negative,"[{'negative': -2.8138238e-06, 'positive': -12.7704115, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"it 's so small and light , even with a spare battery , you really can take it anywhere .",positive,"[{'positive': 0.0, 'negative': -17.583364, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i had no problems setting up the software and getting my favorite cd 's transferred .,positive,"[{'positive': 0.0, 'negative': -17.275032, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"being a past norton customer , i consider this to be a slap to my face .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.223968, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i use a nokia 6600 , it has a great color tft display and camera equipped with zoom , which complement a built-in video recorder with audio and a real one player for playback and streaming of 3gpp-compatible and real media video clips .",positive,"[{'positive': 0.0, 'negative': -17.397133, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"just too numerous to list : fm radio , which has weak reception , but at least it there , and a microphone , to name just two .",negative,"[{'positive': -5.197998e-06, 'negative': -12.161588, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"firewire & usb2 . 0 -- for those fortunate enough to have firewire400 , your in for a real treat with auto sync .",positive,"[{'positive': -6.827632e-08, 'negative': -15.909416, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i also like the lock feature , so it makes the touch pad inactive .",positive,"[{'positive': 0.0, 'negative': -17.423704, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"( i knew this before hand , and it is not that bad ) there is no tiff format .",negative,"[{'negative': -1.6521892e-05, 'positive': -11.011116, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"even with these shortcomings , i still think it is the best digital camera available under $ 1200 .",positive,"[{'positive': 0.0, 'negative': -16.991333, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
my old sony ericsson t610 has this feature .,negative,"[{'positive': -3.076318e-07, 'negative': -14.892151, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"second , the "" automatic "" sync on creative lets you review the songs before it begins its transfer .",positive,"[{'positive': -6.827632e-08, 'negative': -16.63134, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
has the click wheel and the ability to scan through thousands of songs and organizes them great .,positive,"[{'positive': 0.0, 'negative': -17.307716, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"considering the price and specs , this might be the best buy out there for a large memory mp3 player .",positive,"[{'positive': 0.0, 'negative': -17.7461, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
unit took forever since the beginning to recognize and play discs .,negative,"[{'negative': -6.827632e-08, 'positive': -16.271652, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the speed control is well designed and it works perfectly .,positive,"[{'positive': 0.0, 'negative': -18.13179, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"now , the player 's ear phone jack is not working - i have to send it away again .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.274971, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the battery does not last 12 hours .,negative,"[{'negative': 0.0, 'positive': -16.709778, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
silverfish color really adds a special touch .,positive,"[{'positive': 0.0, 'negative': -17.20091, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
it is small enough to fit easily in a coat pocket or purse .,positive,"[{'positive': -6.827632e-08, 'negative': -16.297493, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"compared to everything else in this category , this is most definately the best bang for the buck .",positive,"[{'positive': 0.0, 'negative': -17.985634, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
simple and it works ! .,positive,"[{'positive': 0.0, 'negative': -17.006714, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i would give it about 6 or 7 hours , although it will probably get better after a few charge cycles .",negative,"[{'positive': -3.076318e-07, 'negative': -14.89099, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
it takes great pictures .,positive,"[{'positive': 0.0, 'negative': -18.779434, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"overall , if you know what basic steps to take , it was not difficult to connect , and the s/w worked well to connect .",positive,"[{'positive': -6.827632e-08, 'negative': -15.999062, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"if you can get one with all the accessories and a cheap extended warranty , this is the player to get ! . highly recommended .",positive,"[{'positive': 0.0, 'negative': -17.118553, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i 've printed several photos and the prints look as good as the screen views .,positive,"[{'positive': 0.0, 'negative': -17.346123, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
am i ever glad that i decided on this camera ! .,positive,"[{'positive': 0.0, 'negative': -17.272696, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i actually purchased two phones recently ( this one at the new blackberry phone ) , and this one is far superior ( imho ) .",positive,"[{'positive': 0.0, 'negative': -16.824005, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
there was no compromise this little camera does amazing things .,positive,"[{'positive': 0.0, 'negative': -17.94693, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
it looks nice and sleek and the blue background light looks awesome against the black .,positive,"[{'positive': 0.0, 'negative': -17.819365, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
another thing i like about this camera is the way that you can swap colors around and the impressive video quality i would advise any person in the market for a camera to pay the little extra on the hefty $500 price tag and get a quality camera .,positive,"[{'positive': 0.0, 'negative': -17.33802, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
there was occasionally a lip-sync issue ( the lips were n 't moving in time to the dialog ) .,negative,"[{'negative': -9.055464e-07, 'positive': -13.842536, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"it feels like i 'm back to the days of 56k dial-up internet service , even though i 'm running a dell 2ghz pentium 4 with 256mb memory and have had excellent broadband service for the past year .",negative,"[{'negative': -0.0005521021, 'positive': -7.5020165, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
it seems to be a little slow when identifying a new disc that 's inserted - maybe 10 seconds of wait .,negative,"[{'negative': -3.2906587e-06, 'positive': -12.605418, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
yeah - this program protects your computer all right - by locking you off the internet .,negative,"[{'negative': -7.8540467e-07, 'positive': -13.99736, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the player 's software is very easy to use and very good .,positive,"[{'positive': 0.0, 'negative': -18.14888, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this new click wheel ipod allows you to navigate through the menus and song via a touch-wheel for scrolling and click-able buttons for selection .,positive,"[{'positive': 0.0, 'negative': -18.199333, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i got a 1gb mmc upgrade for this phone and now i can :,positive,"[{'positive': -6.827632e-08, 'negative': -15.651969, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"finally , i gave up and i purchased a router racier .",negative,"[{'positive': -3.8577375e-05, 'negative': -10.160248, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
great phone . . .,positive,"[{'positive': 0.0, 'negative': -17.086662, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
5 . the price is right .,positive,"[{'positive': -1.9765537e-06, 'negative': -13.107667, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i would recommend this product to anyone .,positive,"[{'positive': 0.0, 'negative': -17.898262, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
only used for 3 month before it 's down ! .,negative,"[{'negative': -1.022884e-06, 'positive': -13.757545, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
it has great incredibility .,positive,"[{'positive': 0.0, 'negative': -17.660376, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i will never buy their product again at this rate , and neither should you .",negative,"[{'negative': -6.827632e-08, 'positive': -15.89231, ' Negative': -87.32715, '!': -87.33654, '""': -87.33654}]",negative
the optical and digital zooms combine to give an effective 4x zoom .,positive,"[{'positive': -6.827632e-08, 'negative': -16.052498, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i imagine if i left my player untouched ( no backlight ) it could play for considerably more than 12 hours at a low volume level .,positive,"[{'positive': -6.827632e-08, 'negative': -15.960327, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the ipod is a very nice product , which given reasonable care , should give a lot of service .",positive,"[{'positive': 0.0, 'negative': -17.772995, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
8 . connected the phone to my tablet pc and now can access company von at 56k speed via bluetooth .,positive,"[{'positive': -3.076318e-07, 'negative': -14.886322, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
what impressed me most was the sound .,positive,"[{'positive': 0.0, 'negative': -18.47464, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.496185, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"with eax on , you can modify your sound , with 4 different presets , which is pretty good , you can get different variations with it .",positive,"[{'positive': 0.0, 'negative': -17.565344, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"they are sensitive and accurate ( perhaps too accurate , it senses through t-shirt cloth , but the touchpad can be locked ) , but easy to clean , unlike buttons .",positive,"[{'positive': -1.8841804e-07, 'negative': -15.240555, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
anywhere i went in south africa this phone received full bar reception .,positive,"[{'positive': 0.0, 'negative': -17.12931, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"although i find it more convenient to use 1-touch dialing , this phone does not have voice dialing .",negative,"[{'negative': -4.277735e-07, 'positive': -14.440872, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"again , every review written about the tech line is true . . . after waiting close to 45 minutes i finally spoke to a rep .",negative,"[{'positive': -9.055464e-07, 'negative': -13.878921, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"it 's easy for beginners to use , but has features that more serious photographers will love , so it 's an excellent camera to grow into .",positive,"[{'positive': 0.0, 'negative': -17.940916, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
battery : a big big plus .,positive,"[{'positive': 0.0, 'negative': -17.250341, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this is extremely lame .,negative,"[{'negative': 0.0, 'positive': -17.201918, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i have about 6 gb used on my ipod so far ( well over 1000 songs ) , and as far as i can tell , all of them play at near-cd quality .",positive,"[{'positive': 0.0, 'negative': -16.83181, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better .",positive,"[{'positive': -6.827632e-08, 'negative': -16.164574, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"output went black and white only via both s-video and composite connections , and with no v-hold .",negative,"[{'negative': -3.076318e-07, 'positive': -14.92968, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
its really cool .,positive,"[{'positive': 0.0, 'negative': -18.407295, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"if you are looking for a phone to integrate as easily as the sonyericsson phones with isync , i say stick with a sonyericsson .",positive,"[{'positive': -6.827632e-08, 'negative': -16.247124, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i do give create to creative for their attractive design .,positive,"[{'positive': 0.0, 'negative': -18.222504, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"have tried to contact apex via e-mail ( customerservice@apexdigital . com ) , but the e-mail address is not valid .",negative,"[{'negative': -5.460492e-07, 'positive': -14.244018, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i own this phone for about 6 months now , i have used the following features : bluetooth connection to laptop and desktop for sync contacts and calendars with outlook , transfer files ( movies , songs ) , i have many movies on it now with a 512mb memory card that it takes .",positive,"[{'positive': -6.827632e-08, 'negative': -16.632637, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the scroll wheel is better than the ipod 's as well , in that you do n 't risk giving yourself a cramp running your thumb around in circles endlessly - just a small nudge of the finger and you 're there .",positive,"[{'positive': -6.827632e-08, 'negative': -16.352356, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"took me a few tries to get use to the navigation , but it 's a very user friendly player imo .",positive,"[{'positive': 0.0, 'negative': -17.998695, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
it holds plenty of songs .,positive,"[{'positive': 0.0, 'negative': -17.744917, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"warning ! . the windows "" remove program "" feature does not do a good job of this , and neither does norton 's own removal program .",negative,"[{'negative': -6.827632e-08, 'positive': -15.670319, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the keys are laid out normal so there is no guessing .,positive,"[{'positive': -1.8841804e-07, 'negative': -15.347267, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i tried to play the song three times , with no success .",negative,"[{'negative': -6.827632e-08, 'positive': -15.960793, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"i work on word , explorer , netscape , acrobat reader , photoshop at same time ( meaning using a lot of memory ) , but still dont see a problem with computer ( getting slow or crashing ) .",positive,"[{'positive': -6.827632e-08, 'negative': -15.91703, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the phone is sturdy .,positive,"[{'positive': 0.0, 'negative': -17.406118, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
but those 2 come up every time .,negative,"[{'negative': -6.850158e-05, 'positive': -9.5875845, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
the screen is large and bright and has all the info i need where i need it .,positive,"[{'positive': 0.0, 'negative': -18.812515, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i 've had this thing just over a month and the headphone jack has already come loose .,negative,"[{'negative': -6.827632e-08, 'positive': -15.832451, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"maybe this new design is more durable than the last , but i kind of doubt it .",negative,"[{'negative': -4.4818075e-06, 'positive': -12.298818, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"works great , no odor , and uses regular bags .",positive,"[{'positive': 0.0, 'negative': -17.528725, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i use this with a home theater system and it 's amazing how it sounds , the picture clarity is unmatched ! .",positive,"[{'positive': 0.0, 'negative': -17.101242, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i had a lot of problems setting it up , since the software given along with it is buggy .",negative,"[{'negative': -6.827632e-08, 'positive': -16.465607, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
i would put the hitachi up with the best ! .,positive,"[{'positive': 0.0, 'negative': -17.452042, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"essentially , the cd included with the package is , for the most part , worthless .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.496559, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"actually , the creative zen micro solves all that .",positive,"[{'positive': -6.827632e-08, 'negative': -16.473465, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i had a casio unit , which had given great service , and would have been happy to get another one , but was tempted by the ipod 's sleek design , storage capacity , connection options- - firewire and usb , and its integration with itunes .",positive,"[{'positive': 0.0, 'negative': -17.17112, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"very good "" every day "" camera . fits nicely in the pocket of my jeans and takes quality photos .",positive,"[{'positive': 0.0, 'negative': -17.698471, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"the 6600 ( t-mobile ) is the true 'world phone ' in that it has the mhz to operate around the globe , including new zealand and australia ( 900 ) whereas the 6620 ( available from singular ) replaces it w/ 800mhz ( some refer to as 850 ) .",positive,"[{'positive': -3.076318e-07, 'negative': -14.986572, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"also , the nomad 's 14 hours of battery life versus 8 is handy .",positive,"[{'positive': 0.0, 'negative': -17.262602, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"it holds almost a week 's worth of diapers , and you don 't need expensive refills - any kitchen bags work .",positive,"[{'positive': 0.0, 'negative': -17.361458, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
a larger memory card and extra battery are good things to buy .,negative,"[{'positive': 0.0, 'negative': -19.033209, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this is my first digital camera and i could n 't be happier .,positive,"[{'positive': 0.0, 'negative': -17.128922, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"after a recent update , i can no longer open more then 1 browser window .",negative,"[{'negative': -1.8841804e-07, 'positive': -15.195129, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
"however , the ipod does not come close to the number of extra features that the 'zen micro ' has to offer .",positive,"[{'negative': -0.025933811, 'positive': -3.6651473, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
this fixes some glitches such as the player freezing .,negative,"[{'positive': -5.460492e-07, 'negative': -14.378609, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
you can even use the ipod to store files from your pc and export your outlook files to it .,positive,"[{'positive': 0.0, 'negative': -17.965147, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i recommend t-mobile and the nokia 6600 without reservation .,positive,"[{'positive': 0.0, 'negative': -18.19545, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
travel with it without knowing you have it in your pocket,positive,"[{'positive': -1.6207987e-06, 'negative': -13.289895, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
i quickly got to use to the interface and can find any song / playlist etc fast enough .,positive,"[{'positive': 0.0, 'negative': -18.315239, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this is ridiculous .,negative,"[{'negative': -1.8841804e-07, 'positive': -15.47766, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
i 'd say that this camera is perfect .,positive,"[{'positive': 0.0, 'negative': -17.209213, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
"i finally got a free support number for norton through my usp support staff , but waited an hour or more for a voice .",negative,"[{'positive': -0.0003123885, 'negative': -8.071204, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
the electronic speed control is not doing it 's job and the router begins to speed up and slow down at will .,negative,"[{'negative': 0.0, 'positive': -17.05145, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
i tried to do this by instinct and it 's not intuitive unless you are a network geek .,negative,"[{'negative': -6.827632e-08, 'positive': -16.077911, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",negative
overall i like the unit .,positive,"[{'positive': 0.0, 'negative': -17.514198, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
( batteries last longer too ! . ),positive,"[{'positive': -6.827632e-08, 'negative': -16.44986, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
this is a great camera for you ! .,positive,"[{'positive': 0.0, 'negative': -17.648285, '!': -87.33654, '""': -87.33654, '#': -87.33654}]",positive
