input,gold_hard,fine_label,llm_soft,llm_hard
How do chickens have baby chicks ?,description,26,"[{'description': -0.0006933953, 'entity': -7.278304, 'n': -12.919043, 'human': -15.183302, 'location': -15.932455}]",description
What is the historical relationship of Catholic Church and bingo ?,description,25,"[{'description': -0.00038602657, 'entity': -7.861271, 'n': -14.670078, 'ab': -16.099857, 'location': -16.79881}]",description
How was the element calcium named ?,description,26,"[{'description': -0.017464472, 'entity': -4.056557, 'n': -12.935097, 'location': -14.024452, 'ab': -14.17018}]",description
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,human being,29,"[{'entity': -0.49213615, 'human': -1.0266973, 'description': -3.4979498, 'ab': -8.494684, 'n': -10.653383}]",entity
What piano company claims its product is the `` Instrument of the immortals '' ?,human being,28,"[{'entity': -0.2325125, 'description': -1.5734091, 'ab': -9.037536, 'n': -12.568906, 'location': -14.468519}]",entity
When did the Bounty mutiny take place ?,numeric value,39,"[{'entity': -0.5724199, 'n': -1.3686388, 'description': -1.7334459, 'location': -5.415994, 'ab': -8.470719}]",entity
What novel inspired the movie BladeRunner ?,entity,5,"[{'description': -0.16501963, 'entity': -1.8831439, 'n': -11.55205, 'location': -13.667337, 'human': -14.107248}]",description
What is a transistor ?,description,24,"[{'description': -0.10990371, 'entity': -2.2626135, 'n': -13.607645, 'ab': -15.584093, 'location': -17.667513}]",description
What is a film starring Jude Law ?,entity,5,"[{'entity': -0.019400807, 'description': -4.3302374, 'human': -5.1100836, 'n': -11.318998, 'location': -13.543753}]",entity
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,entity,2,"[{'entity': -0.16553809, 'description': -1.881381, 'human': -8.699213, 'n': -11.61031, 'location': -11.916011}]",entity
What are the most common elements in the Earth 's crust ?,entity,18,"[{'description': -0.08083931, 'entity': -2.6380675, 'n': -5.090559, 'location': -12.557889, 'ab': -14.585232}]",description
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",numeric value,41,"[{'n': -0.0008832665, 'entity': -7.2797227, 'description': -8.5738735, 'ab': -12.336828, 'location': -15.694502}]",n
What actress has received the most Oscar nominations ?,human being,29,"[{'human': -0.31901994, 'entity': -1.3198591, 'description': -5.130917, 'n': -9.842388, 'location': -13.759654}]",human
What are equity securities ?,description,24,"[{'description': -0.1393349, 'entity': -2.0397558, 'n': -12.834333, 'ab': -14.90319, 'location': -17.830603}]",description
What is gymnophobia ?,description,24,"[{'description': -0.14510962, 'entity': -2.009726, 'ab': -6.869414, 'n': -11.835913, 'human': -14.109862}]",description
How many years do fossils take to form ?,numeric value,38,"[{'n': -7.1062755e-06, 'description': -12.215026, 'entity': -13.062696, 'ab': -16.36628, 'location': -19.23497}]",n
Where is the Orinoco ?,location,35,"[{'location': -3.3212986e-05, 'entity': -10.384234, 'description': -13.3703785, 'n': -14.2523365, 'ab': -15.657382}]",location
What was the name of the `` Little Rascals '' dog ?,entity,2,"[{'entity': -0.012479995, 'description': -4.3907833, 'human': -11.75417, 'n': -12.687657, 'location': -15.069432}]",entity
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",location,32,"[{'location': -1.2588937e-05, 'entity': -11.89613, 'description': -12.135418, 'n': -14.726766, 'ab': -16.159107}]",location
What Broadway musical was inspired by Cervantes 's Don Quixote ?,entity,5,"[{'description': -0.05353847, 'entity': -2.9540968, 'n': -12.741632, 'human': -13.478617, 'location': -14.74196}]",description
"What is the origin of the word , JJ .",description,25,"[{'ab': -0.0062998505, 'entity': -5.5484514, 'description': -6.0455146, 'n': -11.022222, 'location': -13.273077}]",ab
How many hostages were killed in the Entebbe raid ?,numeric value,38,"[{'n': -1.37819625e-05, 'entity': -11.239163, 'description': -14.266478, 'ab': -16.290342, 'human': -18.865232}]",n
How you can raise your IQ ?,description,26,"[{'description': -0.03813878, 'n': -3.5608895, 'entity': -4.7542562, 'human': -7.8646846, 'ab': -11.853918}]",description
What does INRI stand for when used on Jesus ' cross ?,abbreviation,1,"[{'ab': -2.2958224e-05, 'entity': -10.967545, 'description': -12.481064, 'n': -13.141433, 'location': -20.320938}]",ab
Who produces Spumante ?,human being,28,"[{'entity': -0.0053248457, 'description': -5.2472296, 'human': -10.164237, 'n': -12.11032, 'location': -12.723356}]",entity
Who earns their money the hard way ?,human being,29,"[{'description': -0.007695626, 'human': -5.485585, 'entity': -5.6520815, 'n': -11.685238, 'location': -14.056004}]",description
Who founded the People 's Temple Commune ?,human being,29,"[{'entity': -0.1845991, 'human': -1.7906171, 'description': -6.4151816, 'location': -9.74848, 'n': -11.67996}]",entity
What athlete makes the most money from sports merchandise sales ?,human being,29,"[{'entity': -0.17284203, 'n': -2.5701656, 'human': -3.1262493, 'description': -3.2633114, 'ab': -9.95822}]",entity
How many bends are there in a standard paper clip ?,numeric value,38,"[{'n': -1.8601542e-06, 'entity': -13.518258, 'description': -14.585763, 'ab': -17.021843, 'location': -20.033892}]",n
Who discovered electricity ?,human being,29,"[{'human': -0.5590997, 'entity': -0.9420342, 'description': -3.260073, 'n': -10.384157, 'location': -10.754023}]",human
What part of your body contains the corpus callosum ?,entity,3,"[{'description': -0.043262858, 'entity': -3.1789134, 'human': -7.9561963, 'location': -8.074741, 'n': -9.986607}]",description
Who was the first American in space ?,human being,29,"[{'human': -0.08331819, 'entity': -2.5405402, 'description': -6.8532453, 'n': -9.884412, 'location': -11.508808}]",human
What two South American countries do n't border Brazil ?,location,33,"[{'location': -0.14145051, 'entity': -2.0932558, 'description': -4.7998366, 'n': -7.893677, 'ab': -11.474481}]",location
What album put The Beatles on the cover of Time in 1967 ?,entity,5,"[{'description': -0.15684022, 'entity': -1.9301175, 'n': -11.154947, 'human': -11.799395, 'location': -12.44041}]",description
"What poem contains the line , `` grow old with me the best is yet to be '' .",entity,5,"[{'description': -0.04257714, 'entity': -3.1780293, 'n': -11.819997, 'human': -12.201138, 'location': -12.628841}]",description
What is a dental root canal ?,description,24,"[{'description': -0.00040916432, 'entity': -7.8037004, 'n': -13.973072, 'human': -17.553753, 'ab': -18.086536}]",description
What war did the Wanna-Go-Home Riots occur after ?,entity,8,"[{'entity': -0.26003665, 'description': -1.5100366, 'human': -5.9129605, 'n': -6.098774, 'location': -6.377018}]",entity
What is the busiest air travel season ?,numeric value,39,"[{'description': -0.002584416, 'entity': -6.214048, 'n': -7.4797873, 'location': -11.293125, 'human': -13.016225}]",description
What 's the colored part of the eye called ?,entity,3,"[{'description': -0.09346059, 'entity': -2.4169164, 'location': -11.507774, 'human': -11.866889, 'ab': -11.942963}]",description
What are hook worms ?,description,24,"[{'description': -0.029721605, 'entity': -3.5307362, 'n': -14.048543, 'ab': -16.7103, 'location': -17.507505}]",description
Where is the Rose Bowl played ?,location,35,"[{'location': -1.8788729e-05, 'entity': -11.103618, 'description': -12.88583, 'n': -13.801959, 'ab': -15.427432}]",location
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,human being,28,"[{'entity': -0.017428078, 'description': -4.3517175, 'n': -5.43825, 'location': -10.46612, 'ab': -11.130097}]",entity
Who is the mayor of Marbella ?,human being,29,"[{'human': -0.29618979, 'entity': -1.3653427, 'description': -7.031183, 'location': -8.793061, 'n': -10.693276}]",human
