gold_hard,input,llm_soft,llm_hard
sadness,When my mother and father were on an excursion in Chechoslovakia and I was at a student camp and I heard over the radio about the events that were taking place there.,"[{' fear': -0.0017067596, ' sadness': -6.383924, ' shame': -11.121777, ' guilt': -13.507872, ' anger': -14.280523}]", fear
guilt,I felt guilty when I tore a photograph I found at my boyfriend's place only to realise that it was his sister who was on the photograph.,"[{' guilt': -6.6619094e-07, ' shame': -14.132271, ' fear': -20.631683, ' sadness': -21.39843, ' anger': -22.445297}]", guilt
fear,"When, for example, my grandfather fell seriously ill. It was necessary for him to be operated and I felt great fear of losing him because he is so dear to me.","[{' fear': 0.0, ' sadness': -17.227644, ' joy': -21.016699, ' anger': -21.23393, ' guilt': -22.005417}]", fear
shame,In the classroom we discussed with the teacher. He told me things that affected directly in a negative way my job and my behavior in the classroom in front of the other pupils.,"[{' shame': -0.02425726, ' guilt': -4.153133, ' anger': -4.8629107, ' sadness': -7.761622, ' fear': -9.378047}]", shame
joy,When I was admitted to the University.,"[{' joy': 0.0, ' fear': -20.986671, ' shame': -21.602095, ' sadness': -21.91304, ' guilt': -22.59298}]", joy
guilt,When I caused needless anxiety to a person close to me because of my lack of self-insight.,"[{' guilt': -0.063306466, ' shame': -2.7913182, ' sadness': -12.440336, ' anger': -17.366987, ' fear': -18.418707}]", guilt
disgust,At the hypocrisy of some of my friends.,"[{' anger': -0.6905903, ' disgust': -0.75301397, ' shame': -3.584725, ' sadness': -10.56945, ' guilt': -12.227898}]", anger
shame,At a friend's party there were several allusions to my sexual adventures.,"[{' shame': -5.6818186e-05, ' disgust': -10.30305, ' guilt': -10.712649, ' anger': -14.7070875, ' fear': -14.776851}]", shame
anger,I came out of the house at 7:20 am Monday morning getting ready t go to school and fight for a parking when I saw my car had a flat tire.,"[{' anger': -0.02121316, ' sadness': -3.885425, ' fear': -8.390079, ' disgust': -8.742152, ' shame': -9.710315}]", anger
joy,"When, after a long time, I saw a girl with whom I was in love.","[{' joy': -9.055464e-07, ' sadness': -13.9151535, ' shame': -16.17456, ' guilt': -17.432114, ' fear': -19.939812}]", joy
guilt,The day I decided to get out of my house I saw in my brother's eyes that they blamed me for the situaiton.,"[{' shame': -0.52441174, ' guilt': -0.9313485, ' sadness': -4.2807517, ' anger': -8.359807, ' fear': -11.920445}]", shame
disgust,[ No response.],"[{' joy': -0.25498265, ' sadness': -2.6770256, ' anger': -2.717255, ' shame': -3.2560585, ' guilt': -3.6860204}]", joy
disgust,I saw a program on T.V where they had to saw a skull for an        operation.,"[{' fear': -0.00025765572, ' disgust': -8.268019, ' sadness': -14.014309, ' shame': -15.857434, ' anger': -16.942213}]", fear
fear,"I went to the prayer meeting at night and unfortunately the car broke down, so my other sister said I had to walk alone from Ndirande to Chirimba at around midnight. So we reached home at 1 am. I was afraid of robbers and dardness.","[{' fear': 0.0, ' joy': -20.955475, ' anger': -21.804008, ' sadness': -23.055595, ' shame': -23.701223}]", fear
disgust,I am disgusted with the fact that bad singers play at the opera (and not only there) only because they are protegTs or lovers of an important felow while at the same time some young and able singers work in a quite different field of life.,"[{' disgust': -1.5214344e-05, ' anger': -11.1044, ' shame': -15.606032, ' fear': -16.22267, ' sadness': -17.553596}]", disgust
joy,When I attended my cousin's 31st birthday.,"[{' joy': 0.0, ' sadness': -20.983397, ' fear': -22.352894, ' guilt': -22.921644, ' anger': -23.410645}]", joy
joy,When I had an anticipatory honey-moon with my fiancTe.,"[{' joy': 0.0, ' sadness': -18.354841, ' fear': -19.073265, ' guilt': -19.590782, ' shame': -19.876158}]", joy
joy,"When I was able to buy my new car, after lots of problems.","[{' joy': 0.0, ' sadness': -21.104599, ' fear': -21.702843, ' guilt': -21.953545, ' shame': -21.97846}]", joy
guilt,I felt guilty when I once went out with another boy and made love with him while I had a close boyfriend.,"[{' guilt': -3.051303e-06, ' shame': -12.69388, ' fear': -20.876207, ' sadness': -21.589548, ' disgust': -22.021326}]", guilt
sadness,My son lives in the country. I feel sadness when I see mothers having walks with their children.,"[{' sadness': 0.0, ' joy': -18.821968, ' shame': -19.24363, ' guilt': -19.792648, ' anger': -20.60179}]", sadness
joy,When my boyfriend came form Rumphi to Lilongwe for a visit I was very happy to see him and couldn't believe it was him with me.,"[{' joy': 0.0, ' fear': -21.941673, ' sadness': -22.795767, ' anger': -23.276327, ' guilt': -24.403778}]", joy
guilt,I had thrown with the ashtray a still lighted cigarette in the plastic wastepaper basket. It had burnt out and my landlords made me a row that I might had set their flat on fire.,"[{' shame': -0.84061056, ' guilt': -0.87604165, ' fear': -1.8965418, ' anger': -6.1993213, ' sadness': -12.287579}]", shame
sadness,When my grandmother died - at her funeral.,"[{' sadness': -4.277735e-07, ' shame': -15.150558, ' guilt': -15.499336, ' anger': -19.217743, ' joy': -19.411667}]", sadness
anger,When I first saw a person begging.,"[{' sadness': -0.5743343, ' shame': -0.8339626, ' guilt': -5.9808125, ' disgust': -9.742547, ' fear': -11.530243}]", sadness
guilt,I felt guilty when the truth was known about my impregnating the girl we were staying with.,"[{' guilt': -1.9765537e-06, ' shame': -13.093607, ' fear': -20.656206, ' anger': -22.000793, ' sadness': -22.191551}]", guilt
sadness,Hearing about developments of sience in the West a lot better than China.,"[{' joy': -0.00019213694, ' shame': -9.18744, ' anger': -9.626931, ' fear': -11.590508, ' disgust': -11.82676}]", joy
sadness,It was in the evening when I heard that my girl went to Zambia and that she would never come back.,"[{' sadness': -6.6619094e-07, ' guilt': -14.69921, ' shame': -15.879044, ' fear': -16.275108, ' anger': -16.552757}]", sadness
shame,Once I had to visit a rather special person.,"[{' shame': -0.46911782, ' fear': -1.5983446, ' guilt': -2.723413, ' sadness': -2.7932067, ' joy': -3.1109939}]", shame
shame,"I was at the University dining room, alone, and at a table next to mine thre were several professors.  One of them asked me to join them.  I refused but she insisted.  All the others started looking at me and I had to move to their table.","[{' shame': -0.00040045741, ' guilt': -8.391124, ' fear': -8.701373, ' sadness': -12.055301, ' anger': -14.031801}]", shame
sadness,When I forgot the lyrics during a song contest.,"[{' shame': -1.306671e-05, ' guilt': -11.341946, ' fear': -13.866635, ' sadness': -15.11269, ' disgust': -18.160831}]", shame
shame,"Having finally to admit I was wrong, after having denied it for a long time.","[{' shame': -0.039675135, ' guilt': -3.2468667, ' sadness': -12.928521, ' anger': -17.061197, ' disgust': -17.250671}]", shame
guilt,Not acting on my promise.,"[{' guilt': -0.24947183, ' shame': -1.5106107, ' sadness': -11.347548, ' disgust': -14.698346, ' anger': -14.731473}]", guilt
disgust,When I nearly walked on a blindworm and then saw it crawl away.,"[{' disgust': -0.24631244, ' fear': -1.5419897, ' sadness': -5.7432756, ' shame': -6.8769116, ' guilt': -9.058034}]", disgust
anger,"I was in ""Hainburg"" in December and I was angry about the politicians and the police.","[{' anger': 0.0, ' fear': -17.916777, ' disgust': -21.154404, ' sadness': -21.190147, ' shame': -21.893517}]", anger
shame,"When I lied to my wife and told her that I was going to the Copperbelt on a buisness trip, she later found me in a hotel with a girlfriend.","[{' guilt': -0.21853046, ' shame': -1.6281755, ' anger': -11.947976, ' disgust': -12.409501, ' sadness': -12.845299}]", guilt
shame,When I was about seven or eight I was caught having stolen a doll's dress from my next-door neighbour.,"[{' shame': -0.23007588, ' guilt': -1.58218, ' sadness': -16.054867, ' fear': -16.90706, ' disgust': -17.306065}]", shame
guilt,Lack of respect for my parents.,"[{' shame': -0.00086387777, ' guilt': -7.830141, ' disgust': -8.649766, ' anger': -8.679163, ' sadness': -9.03032}]", shame
disgust,I saw a physically handicapped young man whose spittle ran out of his mouth while speaking.,"[{' disgust': -0.6003904, ' shame': -1.3482922, ' sadness': -1.6529645, ' fear': -8.737665, ' guilt': -10.147303}]", disgust
guilt,"I had arranged to meet my friends at a certain place, and I was with other people.  My friends did not arrive and the people who were with me began to get tired.  My friends were one hour late.","[{' anger': -0.08381079, ' sadness': -2.569765, ' shame': -5.5936904, ' guilt': -9.237672, ' disgust': -10.70778}]", anger
disgust,In a sexual experience with an unknown woman where after the sexual act I only could go away without looking backwards.,"[{' shame': -0.05062379, ' guilt': -3.0099819, ' sadness': -9.916384, ' fear': -10.998835, ' disgust': -12.21464}]", shame
anger,I reachad home to find that my baby had not been bathed and fed.,"[{' sadness': -0.24747907, ' anger': -1.949803, ' shame': -3.1281323, ' guilt': -3.4462552, ' disgust': -6.9812894}]", sadness
fear,Looking for the toilet in a dark place.,"[{' fear': -1.8841804e-07, ' disgust': -16.09967, ' shame': -16.475708, ' sadness': -17.78286, ' anger': -19.309998}]", fear
guilt,When I did not succeed in finding a job after having finished a nonacademic degree.,"[{' shame': -0.21017869, ' sadness': -1.664967, ' guilt': -7.950253, ' anger': -12.071841, ' disgust': -12.641971}]", shame
joy,This emotion happened when I passed my primary school examination and was selected for Secondary School.,"[{' joy': 0.0, ' fear': -21.008537, ' shame': -22.589493, ' sadness': -22.890036, ' guilt': -23.12389}]", joy
shame,We where in a bar and my friend had a fight with some guys who were in the table aside.,"[{' anger': -7.698572e-06, ' fear': -11.816404, ' shame': -15.419578, ' sadness': -15.768455, ' disgust': -16.921316}]", anger
guilt,We owned a shop and I used to serve in it occasionally. We sometimes took lollies out of the stand and Dad caught me one day.,"[{' shame': -0.1685529, ' guilt': -1.8636137, ' fear': -13.701397, ' sadness': -14.119197, ' disgust': -14.8820915}]", shame
sadness,"I arranged with a friend to go skating the next day. He asked me to wake him up by telephone at twelve o'clock because we had come home late in the morning. Next day I called him - he was not at home. As something like that had happened to me several times before, I came to the conclusion that one cannot rely on anybody and I felt very sad.","[{' sadness': -6.827632e-08, ' joy': -17.257149, ' anger': -17.314095, ' shame': -17.440323, ' guilt': -18.103348}]", sadness
fear,Standing in a crowed shop or in a closed room with too much people in it. This gives me a fearful experience.,"[{' fear': 0.0, ' anger': -22.688248, ' joy': -22.876015, ' sadness': -24.209707, ' shame': -24.584148}]", fear
joy,"When I was 17, I had a mystic vision. I melted into a dazzling light, which omitted perfect love. The physical experience became unimportant, I heard or saw the words ""overcome egotism"". The feeling of joy remained for month after that experience.","[{' joy': 0.0, ' fear': -20.924911, ' sadness': -23.387014, ' anger': -23.769188, ' guilt': -24.296234}]", joy
joy,When I received some good news : I obtained an amount of money I needed to buy something I had been planning to buy.,"[{' joy': 0.0, ' fear': -22.500484, ' sadness': -23.332556, ' anger': -23.925407, ' shame': -24.246151}]", joy
anger,My roommate being unconsiderate.,"[{' anger': -0.00016280691, ' shame': -9.246599, ' disgust': -9.949771, ' sadness': -11.187709, ' guilt': -12.2802305}]", anger
disgust,When a man spoke very sexistly in the company of some friends of mine.,"[{' anger': -0.2546202, ' disgust': -1.5290723, ' shame': -4.8231854, ' sadness': -11.65192, ' guilt': -13.216389}]", anger
joy,When I was at a party I met an old friend from an adult education course.  We had not met for 2 years but had both thought a lot about each other.  A wonderful experience.,"[{' joy': 0.0, ' sadness': -22.060524, ' fear': -23.231184, ' guilt': -23.679737, ' shame': -24.500944}]", joy
fear,"When one of my relatives went out at night leaving me and my friend alone, I cheated my parents that she didn't go out, after they had heard that she was out, I was afraid that she might have beaten me.","[{' fear': 0.0, ' anger': -19.865461, ' guilt': -19.951927, ' shame': -20.366308, ' sadness': -22.370161}]", fear
fear,Stopped at lights in Mangere late one Friday night on way home from work. Alone in car when someone came up behind the car and started banging and shaking it. Light was red and had nowhere to go until light changed. When green I took off.,"[{' fear': -2.3360508e-06, ' anger': -12.969369, ' disgust': -20.550507, ' sadness': -21.298332, ' shame': -21.416117}]", fear
fear,Staying alone in a dark place.,"[{' fear': -1.8841804e-07, ' sadness': -15.261124, ' anger': -19.276634, ' shame': -19.865112, ' disgust': -20.851616}]", fear
disgust,I heard a broadcasting programme about parapsychology. The people in this programme used very difficult words which I couldn't understand. They acted exaggerated without showing any feeling.,"[{' shame': -0.33001837, ' disgust': -1.3211606, ' anger': -4.913308, ' fear': -5.368127, ' sadness': -6.463753}]", shame
anger,"A ex-boyfriend tried to prejudice me before my fiancT and his family saying things about me that let his family worried. We had to postpone our wedding and we were already using our wedding rings. To be honest I didn't feel just anger, I felt hate.","[{' anger': -6.031526e-06, ' disgust': -12.760259, ' shame': -13.152501, ' fear': -13.806616, ' sadness': -15.120947}]", anger
sadness,I feel sadness when I only imagine that I could lose a close person. Some time ago I lost a man whom aI greatly respected.,"[{' sadness': 0.0, ' shame': -18.368225, ' joy': -19.103155, ' guilt': -19.23371, ' anger': -19.865332}]", sadness
sadness,When the relationship with my girlfriend broke up.,"[{' sadness': -1.5006569e-06, ' shame': -13.422457, ' guilt': -16.372276, ' anger': -17.783989, ' fear': -21.296251}]", sadness
joy,"I feel joy usually after each taken exam, the last one was in February.","[{' joy': 0.0, ' fear': -19.923332, ' anger': -22.700094, ' sadness': -22.911932, ' guilt': -22.979757}]", joy
anger,"One night I could not practise my violin as my family was watching T.V with the lights off, so I wanted to listen to some tapes.  It was dark so I asked my brother to bring me a torch, however he scolded me.  I was so angry that I slammed my violin on the floor.","[{' anger': 0.0, ' fear': -18.177757, ' sadness': -20.763657, ' disgust': -21.2554, ' shame': -21.595762}]", anger
shame,Finding out that I was deceived by my friend.,"[{' anger': -0.06337467, ' sadness': -3.0546849, ' shame': -4.3266954, ' disgust': -7.265561, ' guilt': -7.9325147}]", anger
joy,"I thought that I was going to fail a subject and so I began to study for the final exam, then my friend told me that I had passed it.  That meant that I could go home, as I do not study in my hometown.","[{' joy': 0.0, ' fear': -20.935553, ' sadness': -21.054672, ' guilt': -22.50626, ' shame': -23.19474}]", joy
anger,When I found one of my new pullovers wrinkled inside the wardrobe.  My brother had done it.,"[{' anger': -0.00031000242, ' shame': -8.895237, ' disgust': -9.3447, ' sadness': -9.723439, ' guilt': -10.591496}]", anger
disgust,I saw a terrible accident in which the driver of a motor was thrown through the frontwindow of a car. His face was completely away.,"[{' fear': -0.46446875, ' sadness': -0.995963, ' disgust': -6.349493, ' shame': -8.033155, ' guilt': -9.925795}]", fear
guilt,Not getting an airplane ticket fot my mother.,"[{' sadness': -0.020348694, ' shame': -4.3186197, ' guilt': -5.027322, ' anger': -8.275941, ' fear': -11.654275}]", sadness
disgust,I applied for a job of GALSO counselor and I made the strongest possible application but was denied an interview. I felt disgusted at the system which by promoting the cause of minorities makes employing whites lowest priority.,"[{' disgust': -0.008112427, ' anger': -4.827326, ' shame': -9.61149, ' sadness': -13.115404, ' guilt': -13.296863}]", disgust
fear,I am afraid of my academic results as I will face several problems.  I am scared of my limitations and the unlimited problems and I do not know how to cope with them.,"[{' fear': 0.0, ' joy': -20.601835, ' anger': -21.658897, ' sadness': -21.760445, ' shame': -22.631561}]", fear
fear,"I was at home alone, and heard noises on the roof, and doorknobs, and drawers.","[{' fear': 0.0, ' anger': -21.572205, ' sadness': -23.814247, ' joy': -23.819494, ' disgust': -23.99819}]", fear
disgust,"Being on view in a meat-factory. Pigs being cut open, pigs being suspended from nods, blood everywhere, decompsition.","[{' disgust': -0.021415066, ' fear': -3.8839254, ' sadness': -7.4618297, ' shame': -10.528609, ' anger': -11.222084}]", disgust
anger,Someone spread rumours about me.,"[{' shame': -0.0008300526, ' anger': -7.4990597, ' sadness': -8.564711, ' guilt': -9.648916, ' disgust': -10.93405}]", shame
shame,Criticized in front of the class.,"[{' shame': -7.937927e-06, ' guilt': -12.150041, ' fear': -13.137703, ' sadness': -14.503708, ' anger': -15.637887}]", shame
guilt,"I slapped my sister's daughter and after several hours, she had a high temperature and she ended up being admitted in hospital.","[{' guilt': -0.53499013, ' shame': -0.88175374, ' sadness': -9.079226, ' anger': -9.496522, ' fear': -10.041673}]", guilt
sadness,When my beloved grandfather died.,"[{' sadness': 0.0, ' shame': -16.860579, ' guilt': -17.033188, ' anger': -18.66935, ' joy': -19.143806}]", sadness
joy,"When I got a stereo walkman from my father when he had finacial difficulties. I thought that although he promised to give me that present, he was not obliged to do so.","[{' joy': -0.0011184614, ' guilt': -7.0225415, ' shame': -8.44016, ' sadness': -11.49384, ' disgust': -16.7336}]", joy
shame,"I had called a boy who had dated me, and told him that I was ill, while, actually, I didn't want to go out with him, later on, he asked me if I was feeling better, then I felt ashamed.","[{' shame': -7.8540467e-07, ' guilt': -13.956269, ' fear': -18.670074, ' sadness': -19.388565, ' disgust': -20.54132}]", shame
shame,At a weakness on my part.,"[{' shame': -0.069996245, ' guilt': -2.6942027, ' sadness': -11.977802, ' fear': -16.29372, ' disgust': -16.328793}]", shame
sadness,My grandmother died.,"[{' sadness': 0.0, ' shame': -17.08641, ' guilt': -17.285933, ' anger': -18.41902, ' joy': -19.841093}]", sadness
anger,"When I found out my cousin had been killed. I was angry at the world, and her murderer who was her ex-boyfriend. It was the worst and most hateful day of my life.","[{' anger': -6.6619094e-07, ' sadness': -14.190643, ' fear': -16.643272, ' disgust': -18.44931, ' shame': -18.820976}]", anger
joy,When they told me that I had got a study grant.,"[{' joy': 0.0, ' fear': -22.531105, ' sadness': -23.858444, ' shame': -24.264893, ' anger': -24.921253}]", joy
shame,I was severely reprimanded for a trivial offence in front of members of my peer group while still at school.,"[{' shame': -4.0843282e-05, ' guilt': -10.154627, ' fear': -13.927995, ' sadness': -14.1389475, ' anger': -15.128466}]", shame
fear,"When cleaning up a pile of junk under our house, a huge spider (a ""Jungle Spider"") ran out near me. (I do not like even small spiders).","[{' fear': -0.00018975277, ' disgust': -8.569907, ' anger': -17.141363, ' sadness': -18.262503, ' shame': -19.667227}]", fear
shame,Not doing well in an examn which was easy.,"[{' shame': -0.011465005, ' sadness': -4.7383785, ' guilt': -5.94129, ' fear': -10.964734, ' anger': -14.381849}]", shame
sadness,I felt sad when I was despised by another person.,"[{' sadness': 0.0, ' shame': -16.698257, ' anger': -18.176743, ' guilt': -19.314194, ' fear': -19.833473}]", sadness
sadness,My father suddenly fell ill and died.,"[{' sadness': -6.827632e-08, ' guilt': -16.247108, ' shame': -16.703712, ' fear': -16.753113, ' anger': -17.84288}]", sadness
sadness,When my grandmother died.,"[{' sadness': 0.0, ' shame': -16.817871, ' guilt': -17.072104, ' anger': -18.837105, ' joy': -19.96801}]", sadness
fear,I was walking along a subway when I saw a group of louts.  I was rather afraid because I was alone.,"[{' fear': 0.0, ' anger': -22.064207, ' joy': -23.449749, ' sadness': -24.60714, ' shame': -24.782444}]", fear
fear,I had the window open and the door was shut so that the kitten would not go out.  My partner came in and started talking about something and I forgot about the window and suddenly I saw the kitten hanging from the window frame. I was rigid with fright till I got hold of her.,"[{' fear': 0.0, ' joy': -18.915443, ' anger': -21.176153, ' guilt': -23.423462, ' shame': -23.7925}]", fear
anger,Had an insulting letter from my father.,"[{' shame': -0.15288284, ' sadness': -2.4917576, ' anger': -2.833997, ' guilt': -8.716466, ' disgust': -9.687543}]", shame
fear,[ No response.],"[{' joy': -0.20407976, ' anger': -2.9032145, ' sadness': -2.9206553, ' shame': -3.4297266, ' guilt': -3.8487098}]", joy
disgust,"A few days back, I walked on a heap of faeces while walking on the road.  I got goose flesh because of this.","[{' disgust': -0.028367126, ' fear': -3.5769815, ' shame': -11.786744, ' anger': -14.334259, ' sadness': -14.814049}]", disgust
fear,When I came home late one day. I was afraid I would be shouted at by my parents.,"[{' fear': 0.0, ' anger': -19.987005, ' joy': -21.856133, ' guilt': -23.048958, ' shame': -23.322296}]", fear
disgust,"When we complained about the uncleanliness of the work place, the authorities agreed to have the place cleaned.  Even after 2-3 days nothing had been done.  I felt disgusted at the whole situation.","[{' disgust': -2.693682e-06, ' anger': -12.803767, ' fear': -17.720354, ' shame': -18.064203, ' sadness': -18.797321}]", disgust
shame,When I stated sharply something I was not very sure of and a few days later I was shown to be wrong.,"[{' shame': -0.010317158, ' guilt': -4.5793023, ' fear': -13.742113, ' sadness': -14.114007, ' anger': -15.347619}]", shame
joy,When I received a beautiful birthday gift form my parents.,"[{' joy': 0.0, ' sadness': -22.092178, ' fear': -22.830702, ' guilt': -23.47322, ' shame': -24.106823}]", joy
shame,When I swindled money out of someone.,"[{' guilt': -0.05249848, ' shame': -2.9731143, ' disgust': -15.04985, ' sadness': -16.890839, ' fear': -17.40461}]", guilt
sadness,I felt very sad when my son died after a short illness.,"[{' sadness': 0.0, ' shame': -19.493011, ' anger': -20.0166, ' guilt': -20.423658, ' joy': -20.575813}]", sadness
anger,"My father accused my brother of having bumped his car, and it was wrong.","[{' anger': -0.15149607, ' shame': -2.166587, ' guilt': -3.654258, ' sadness': -9.087333, ' disgust': -11.251768}]", anger
guilt,"I felt that I contributed to a possible rift in the relationship between a boy and girl soon to be married, in my flat after I moved in. After stating my celibacy to him which she overheard and didn't previously know about I suspect.","[{' guilt': -0.2098667, ' shame': -1.6646016, ' sadness': -10.120687, ' fear': -13.677433, ' disgust': -15.386036}]", guilt
disgust,"One day I was going through the street door of my house, when a man asked me for a doctor.  He then showed me his genitals and asked me to cure him myself.","[{' disgust': -0.028937435, ' shame': -3.609763, ' fear': -6.5349345, ' anger': -11.567578, ' guilt': -13.049772}]", disgust
anger,"A few days back a friend of mine poked me in the ribs for fun's sake, though I had warned him an infinite number of times that it really hurts me, he did it again.  I usually ignore this but this time I flared up for a split second and threatened to bash him up.  This is the latest incident when I lost my temper, though I felt very bad about it later.","[{' anger': -0.0005215096, ' shame': -7.6370034, ' guilt': -10.211833, ' sadness': -13.290995, ' fear': -14.308008}]", anger
disgust,Saw someone acting in a false manner in public.,"[{' disgust': -0.28786272, ' shame': -1.4388409, ' anger': -4.4155254, ' guilt': -7.156492, ' sadness': -9.761709}]", disgust
guilt,Not to have studied enough when exams were near.,"[{' guilt': -0.44218016, ' shame': -1.029796, ' fear': -8.415484, ' sadness': -9.648373, ' disgust': -14.941005}]", guilt
fear,When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.,"[{' fear': -0.0004099988, ' shame': -8.008528, ' anger': -10.169142, ' guilt': -10.253324, ' sadness': -13.094046}]", fear
